"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C1","Create account with required data"," None","Filip Milczarski","10/29/2022 1:43 PM","","","","","","User has an email address ","Critical","","Create account","0","","Create account","1. User enters his email address
Expected Result:
User's e-mail address appears in the text field 2. User clicks the button ""create an account""
Expected Result:
User is taken to a page to enter personal data 3. User fills in the fields with the required personal data (first name, last name, password, home address, postal address, country of residence, state, telephone number)
Expected Result:
The fields are filled in4.  User presses the ""register"" button
Expected Result:
User is transferred to the ""my account"" page","","1. 
2. 
3. 
4.","1. User's e-mail address appears in the text field 
2. User is taken to a page to enter personal data 
3. The fields are filled in
4. User is transferred to the ""my account"" page","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. User enters his email address
2. User clicks the button ""create an account""
3. User fills in the fields with the required personal data (first name, last name, password, home address, postal address, country of residence, state, telephone number)
4.  User presses the ""register"" button","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 1:58 PM"
"C2","Create an account (with optional data)"," None","Filip Milczarski","10/29/2022 2:08 PM","","","","","","the user has an email address","Critical","","Create account","0","","Create account","1. User enters the e-mail address in the text field.
Expected Result:
User's e-mail address appears in the text field.2. User presses create an account.
Expected Result:
User is transferred to the page for adding personal data.3. User fills in the fields with personal information (optional and required). 
Expected Result:
The fields are filled in.4. User presses the register button.
Expected Result:
User is redirected to the ""my account"" page.","","1. 
2. 
3. 
4.","1. User's e-mail address appears in the text field.
2. User is transferred to the page for adding personal data.
3. The fields are filled in.
4. User is redirected to the ""my account"" page.","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. User enters the e-mail address in the text field.
2. User presses create an account.
3. User fills in the fields with personal information (optional and required). 
4. User presses the register button.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 2:08 PM"
"C3","The user can log in"," None","Filip Milczarski","10/29/2022 2:14 PM","","","","","","User has an account on the website","Critical","","Login","0","","Login","1. User enters the e-mail address and password in the text fields.
Expected Result:
The text fields are filled in.2. The user presses the ""Sign in"" button.
Expected Result:
The user is logged in and taken to the ""my account"" page.","","1. 
2.","1. The text fields are filled in.
2. The user is logged in and taken to the ""my account"" page.","1. 
2.","1. 
2.","1. User enters the e-mail address and password in the text fields.
2. The user presses the ""Sign in"" button.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 8:02 PM"
"C5","The user can go to the login section"," None","Filip Milczarski","10/29/2022 2:27 PM","","","","","","User  has access to the home page.","Critical","","Login","0","","Login","1. The user presses the sign in button.

![](index.php?/attachments/get/8f6f21b3-9411-4d21-80ba-d69091780a39)&nbsp; 
Expected Result:
User is taken to the ""AUTHENTICATION"" page.","","1.","1. User is taken to the ""AUTHENTICATION"" page.","1.","1.","1. The user presses the sign in button.

![](index.php?/attachments/get/8f6f21b3-9411-4d21-80ba-d69091780a39)&nbsp;","Master","S1","Test Case (Steps)","Other","Filip Milczarski","10/29/2022 8:04 PM"
"C8","User can log in with an incorrect password (negative)"," None","Filip Milczarski","10/29/2022 2:54 PM","","","","","","User has an account on the website.","Low","","Login","0","","Login","1. User fills in the fields ""email address"" and ""password"" with an incorrect password.
Expected Result:
User is not logged in and is taken to the ""my account"" page.","","1.","1. User is not logged in and is taken to the ""my account"" page.","1.","1.","1. User fills in the fields ""email address"" and ""password"" with an incorrect password.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 8:05 PM"
"C22","The user can sign out"," None","Filip Milczarski","10/29/2022 4:44 PM","","","","","","The user is logged in.","Critical","","Login","0","","Login","1. The user presses the 'sign out' button.
Expected Result:
The user is logged out.","","1.","1. The user is logged out.","1.","1.","1. The user presses the 'sign out' button.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 8:14 PM"
"C6","Contact us button (logged in, required fields only)"," None","Filip Milczarski","10/29/2022 2:40 PM","","","","","","User is logged in on the website. ","High","","Contact us","0","","Contact us","1. User presses the 'contact us' button.
Expected Result:
User is redirected to the ""CUSTOMER SERVICE - CONTACT US"" page, with a pre-filled email address field.2. The user fills in the required fields (Subject heading, message) 
Expected Result:
The fields are filled in.3. The user presses the 'send' button.
Expected Result:
The message is sent.","","1. 
2. 
3.","1. User is redirected to the ""CUSTOMER SERVICE - CONTACT US"" page, with a pre-filled email address field.
2. The fields are filled in.
3. The message is sent.","1. 
2. 
3.","1. 
2. 
3.","1. User presses the 'contact us' button.
2. The user fills in the required fields (Subject heading, message) 
3. The user presses the 'send' button.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 2:40 PM"
"C7","sending messages via the 'contact us' section without filling in the 'message' field while logged in  (negative)"," None","Filip Milczarski","10/29/2022 2:53 PM","","","","","","User is logged in. ","Low","","Contact us","0","","Contact us","1. User fills in the required fields (Subject Heading), the email field is already filled in. 

Expected Result:
the text fields are filled in.2. The user presses the send button without filling in the 'message' field.
Expected Result:
Message is not sent.","","1. 
2.","1. the text fields are filled in.
2. Message is not sent.","1. 
2.","1. 
2.","1. User fills in the required fields (Subject Heading), the email field is already filled in. 

2. The user presses the send button without filling in the 'message' field.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 2:53 PM"
"C9","Sending messages via the 'contact us' section (not logged in, required fields only)"," None","Filip Milczarski","10/29/2022 3:02 PM","","","","","","The user is in the 'contact us' section and is not logged in.","High","","Contact us","0","","Contact us","1. User fills in all fields (Subject Heading, Email address, Order reference, Attach File, Message).

Expected Result:
The fields are filled in.2. User presses 'send' button.
Expected Result:
The message is sent.","","1. 
2.","1. The fields are filled in.
2. The message is sent.","1. 
2.","1. 
2.","1. User fills in all fields (Subject Heading, Email address, Order reference, Attach File, Message).

2. User presses 'send' button.","Master","S1","Test Case (Steps)","Functional","Filip Milczarski","10/29/2022 3:06 PM"
"C10","Sending messages via the 'contact us' section (logged in, additional data)"," None","Filip Milczarski","10/29/2022 3:13 PM","","","","","","User is not logged in to the website. User is on the 'CUSTOMER SERVICE - CONTACT US' page. ","High","","Contact us","0","","Contact us","1. The user fills in the required and optional fields (Subject Heading, Email address, Order reference, attach file, message). 
Expected Result:
the fields are filled in.2. User presses send button.
Expected Result:
The message is sent.","","1. 
2.","1. the fields are filled in.
2. The message is sent.","1. 
2.","1. 
2.","1. The user fills in the required and optional fields (Subject Heading, Email address, Order reference, attach file, message). 
2. User presses send button.","Master","S1","Test Case (Steps)","Other","Filip Milczarski","10/29/2022 3:13 PM"
